dataset,method,k,mean_MAE,median_MAE,p90_MAE,worst_MAE,mean_rank,top3_rate,n
COFACTOR-44,HistGBDT-ST,7,4.097348538842154,3.7555379289697646,7.7646515848782425,13.127477785616732,5.136363636363637,0.09090909090909091,44
COFACTOR-44,Persistence,7,4.395093072544444,3.871438503265381,7.841667127609255,13.373018264770508,6.613636363636363,0.022727272727272728,44
COFACTOR-44,Seasonal naive,7,8.273146152496338,5.49090313911438,17.01275329589844,25.146255493164062,8.0,0.0,44
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,14,3.6011452646092708,2.8067207807673746,6.499054036622697,10.366615327507011,1.8409090909090908,0.9090909090909091,44
COFACTOR-44,M9_REVIN_MSR,14,3.6335329777395695,2.903437615289598,6.395200732989678,10.677614933684628,2.409090909090909,0.8409090909090909,44
COFACTOR-44,ExtraTrees-ST,14,3.771369673650247,3.2264639252808647,6.877448789009715,11.54131221478232,2.8181818181818183,0.7045454545454546,44
COFACTOR-44,PARBoost,14,3.83224471065072,3.137672200283367,6.967488370207364,11.45208298517064,4.295454545454546,0.3181818181818182,44
COFACTOR-44,RF-ST,14,3.896568449782286,3.247370995028673,7.132064395691605,11.721561606758998,4.7272727272727275,0.13636363636363635,44
COFACTOR-44,HistGBDT-ST,14,3.96501467130703,3.637982036205936,7.451722244260981,12.070952848691489,5.204545454545454,0.06818181818181818,44
COFACTOR-44,Persistence,14,4.395093072544444,3.871438503265381,7.841667127609255,13.373018264770508,6.704545454545454,0.022727272727272728,44
COFACTOR-44,Seasonal naive,14,8.273146152496338,5.49090313911438,17.01275329589844,25.146255493164062,8.0,0.0,44
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,30,3.5227622306926705,2.7632328165254085,6.426051954145822,9.95292019736092,1.7045454545454546,0.9545454545454546,44
COFACTOR-44,M9_REVIN_MSR,30,3.534541097309916,2.788278461943306,6.372606369257038,10.304310154559603,1.9318181818181819,0.9318181818181818,44
COFACTOR-44,ExtraTrees-ST,30,3.7062308005592923,3.200823439717932,6.840579455748067,10.984623574108625,3.227272727272727,0.6363636363636364,44
COFACTOR-44,PARBoost,30,3.742703502495439,3.1422954172891346,6.94210285240796,10.829073858777582,4.2727272727272725,0.36363636363636365,44
COFACTOR-44,RF-ST,30,3.8220234535849618,3.202426963900409,7.0491959412365786,11.247492725495569,4.75,0.06818181818181818,44
COFACTOR-44,HistGBDT-ST,30,3.867567498975624,3.479259066691822,7.358828894026742,11.136287136920531,5.318181818181818,0.045454545454545456,44
COFACTOR-44,Persistence,30,4.395093072544444,3.871438503265381,7.841667127609255,13.373018264770508,6.795454545454546,0.0,44
COFACTOR-44,Seasonal naive,30,8.273146152496338,5.49090313911438,17.01275329589844,25.146255493164062,8.0,0.0,44
