MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,gate,calibrate,alpha,alpha_val_mae
1.4037280512151078,2.7441506148103607,20.723614090929463,2.3581073395282197,5.703857246622788,M1_ANCHOR,cofactor_6422,30,42,anchor,False,False,False,1.0,
1.2415949523993284,2.1165111337188183,19.47511883454057,1.7141945636900024,6.065185523439512,M3_ANCHOR_REVIN,cofactor_6422,30,42,revin,False,False,False,1.0,
1.189609199700266,1.9573601260602083,20.003854013181336,1.5544834857402494,4.8436268118584795,M7_FULL_REVIN_SIM_CAL,cofactor_6422,30,42,revin,True,False,True,1.25,1.3901198849407297
6.491503324141421,8.40492529933117,8.191148972583322,5.339203553881771,1.7249752024563276,M1_ANCHOR,cofactor_6423,3,42,anchor,False,False,False,1.0,
5.742305783939506,7.507955062624434,7.0549902371776945,4.8372045677558715,1.8106372000350133,M3_ANCHOR_REVIN,cofactor_6423,3,42,revin,False,False,False,1.0,
5.5897166482904765,7.3988001523447275,6.823911661907224,4.847737628225072,1.8607657095789902,M7_FULL_REVIN_SIM_CAL,cofactor_6423,3,42,revin,True,False,True,1.0,5.631712871347913
6.526998468424206,8.480721909965979,8.214614510229522,5.415255199865798,1.7581760397299264,M1_ANCHOR,cofactor_6423,7,42,anchor,False,False,False,1.0,
5.94646025239069,7.756393534120968,7.346759020877876,4.980429702877055,1.768236035334936,M3_ANCHOR_REVIN,cofactor_6423,7,42,revin,False,False,False,1.0,
5.547005428917346,7.29389914066683,6.764712257791046,4.73653847706859,1.8220648837021718,M7_FULL_REVIN_SIM_CAL,cofactor_6423,7,42,revin,True,False,True,1.25,5.573004296909828
6.5590866466864,8.568618979244008,8.344281997354717,5.513965585488986,1.7476889442256978,M1_ANCHOR,cofactor_6423,14,42,anchor,False,False,False,1.0,
5.8831239019135095,7.685726849980699,7.341914372185662,4.945971288459688,1.7526745554336167,M3_ANCHOR_REVIN,cofactor_6423,14,42,revin,False,False,False,1.0,
5.484011638550617,7.219795267653442,6.728954212692559,4.696180227505381,1.7950996411465616,M7_FULL_REVIN_SIM_CAL,cofactor_6423,14,42,revin,True,False,True,1.25,5.48280735537937
6.472169202618066,8.345594965273436,8.338107513062418,5.269138364035891,1.7533428698331135,M1_ANCHOR,cofactor_6423,30,42,anchor,False,False,False,1.0,
5.806006119428323,7.557166652130606,7.275708359358742,4.837798679980145,1.7385474596016732,M3_ANCHOR_REVIN,cofactor_6423,30,42,revin,False,False,False,1.0,
5.293337685984561,6.981307602513099,6.446921906450363,4.552152954921541,1.836863605266046,M7_FULL_REVIN_SIM_CAL,cofactor_6423,30,42,revin,True,False,True,1.25,5.38376117569899
7.3727064609602015,10.627942844339682,7.996842764865077,7.655353515375518,2.5325659978263015,M1_ANCHOR,cofactor_6424,3,42,anchor,False,False,False,1.0,
7.577302813438349,10.994351909112233,8.112133330622335,7.966743039009156,2.5373221867073874,M3_ANCHOR_REVIN,cofactor_6424,3,42,revin,False,False,False,1.0,
7.626495211157789,10.950424680094514,8.27142669360013,7.858554218908723,2.4976915094109877,M7_FULL_REVIN_SIM_CAL,cofactor_6424,3,42,revin,True,False,True,1.0,8.360079750979216
7.831795105471096,11.494572278241238,8.45432311635592,8.414150286151441,2.6233189463839004,M1_ANCHOR,cofactor_6424,7,42,anchor,False,False,False,1.0,
7.557482061125815,10.856017256939213,8.163100302466624,7.7939681377268615,2.595694697902398,M3_ANCHOR_REVIN,cofactor_6424,7,42,revin,False,False,False,1.0,
7.592237476079902,10.924771386181355,8.218926703271237,7.856020456177676,2.5573307467418185,M7_FULL_REVIN_SIM_CAL,cofactor_6424,7,42,revin,True,False,True,1.0,8.445866615346912
7.773763729731932,11.334328691197223,8.434539176834443,8.248937693355028,2.5813232426901664,M1_ANCHOR,cofactor_6424,14,42,anchor,False,False,False,1.0,
7.766003757555384,11.27826316190664,8.366071782773481,8.179096302677214,2.7557228560742337,M3_ANCHOR_REVIN,cofactor_6424,14,42,revin,False,False,False,1.0,
7.611183844749631,10.929145330984515,8.268350951671097,7.84375988320406,2.6076638675722363,M7_FULL_REVIN_SIM_CAL,cofactor_6424,14,42,revin,True,False,True,1.25,8.320224687231521
8.112492182426505,11.97405440918705,8.757252254501603,8.807731296312296,2.5887063211601404,M1_ANCHOR,cofactor_6424,30,42,anchor,False,False,False,1.0,
7.814717403677554,11.299646895494169,8.529046950252225,8.162192387611736,2.523153298626454,M3_ANCHOR_REVIN,cofactor_6424,30,42,revin,False,False,False,1.0,
