dataset,candidate,baseline,k,n,candidate_mean_MAE,baseline_mean_MAE,mean_improvement_MAE,median_improvement_MAE,p10_improvement_MAE,win_rate,negative_transfer_rate,wilcoxon_p_greater
COFACTOR-44,M9_REVIN_MSR,Persistence,3,44,3.518428681930081,4.395093072544444,0.8766643906143642,0.7024817812477441,0.2340540392315073,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M9_REVIN_MSR,Persistence,7,44,3.633104361985904,4.395093072544444,0.7619887105585409,0.5983379901089463,0.1993217944468115,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M9_REVIN_MSR,Persistence,14,44,3.6335329777395695,4.395093072544444,0.7615600948048754,0.5741357589197976,0.1943130790110895,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M9_REVIN_MSR,Persistence,30,44,3.534541097309916,4.395093072544444,0.8605519752345291,0.6276382126863377,0.2560673766832668,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M9_REVIN_MSR,RF-ST,3,44,3.518428681930081,3.9951370571936566,0.4767083752635756,0.314389190660612,0.0956398145312079,1.0,0.0,5.684341886080803e-14
COFACTOR-44,M9_REVIN_MSR,RF-ST,7,44,3.633104361985904,3.9887827402623017,0.3556783782763976,0.2054729716882042,0.0241421555578894,0.9318181818181818,0.0681818181818181,5.1386450650170445e-11
COFACTOR-44,M9_REVIN_MSR,RF-ST,14,44,3.6335329777395695,3.896568449782286,0.2630354720427171,0.1591208905877176,-0.0314070814437309,0.8409090909090909,0.1590909090909091,1.6810986380733084e-08
COFACTOR-44,M9_REVIN_MSR,RF-ST,30,44,3.534541097309916,3.8220234535849618,0.2874823562750462,0.1855721424494821,0.0481075891926199,0.9318181818181818,0.0681818181818181,1.1766587704187259e-11
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,3,24,2.61284821458363,2.711111555584868,0.0982633410012383,0.0029963943154675,,0.7916666666666666,0.1666666666666666,
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,7,24,2.520004500013249,2.597442629010746,0.0774381289974973,0.0044597989798344,,0.8333333333333334,0.1666666666666666,
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,14,24,2.299912049169845,2.397453266953033,0.0975412177831874,0.0026854742678076,,0.8333333333333334,0.1666666666666666,
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,30,24,2.0004894872101056,2.0727903728465784,0.0723008856364731,0.0053373043749347,,0.875,0.125,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,3,24,2.726193658633273,2.711111555584868,-0.0150821030484054,-3.0369370590655226e-06,,0.4166666666666667,0.5416666666666666,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,7,24,2.387005000568076,2.597442629010746,0.2104376284426704,5.87544753833265e-06,,0.6666666666666666,0.3333333333333333,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,14,24,2.2431824591527074,2.397453266953033,0.1542708078003254,1.099067277086609e-05,,0.6666666666666666,0.3333333333333333,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,30,24,2.0429985187298136,2.0727903728465784,0.029791854116765,2.465801547348952e-05,,0.6666666666666666,0.3333333333333333,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,3,24,2.726193658633273,2.61284821458363,-0.1133454440496438,-0.0041747349511014,,0.2916666666666667,0.6666666666666666,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,7,24,2.387005000568076,2.520004500013249,0.1329994994451731,9.176455932264294e-07,,0.5,0.5,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,14,24,2.2431824591527074,2.299912049169845,0.0567295900171379,4.000016798187866e-06,,0.5833333333333334,0.4166666666666667,
BDG2-24,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,30,24,2.0429985187298136,2.0004894872101056,-0.0425090315197081,7.210040175156493e-06,,0.5833333333333334,0.4166666666666667,
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,3,44,3.518428681930081,3.539045912258174,0.0206172303280931,0.0030688296889128,,0.5454545454545454,0.4545454545454545,
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,7,44,3.633104361985904,3.635281200855404,0.0021768388695012,0.0034153533435252,,0.5227272727272727,0.4772727272727273,
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,14,44,3.6335329777395695,3.644938974272932,0.0114059965333638,0.0100463769774831,,0.5909090909090909,0.4090909090909091,
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,30,44,3.534541097309916,3.599214195681838,0.0646730983719227,0.0338003500428325,,0.8636363636363636,0.1363636363636363,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,3,44,3.684926074230586,3.539045912258174,-0.1458801619724121,-0.117575935427831,,0.1363636363636363,0.8636363636363636,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,7,44,3.731216321061935,3.635281200855404,-0.0959351202065295,-0.0798210068443264,,0.2045454545454545,0.7954545454545454,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,14,44,3.6011452646092708,3.644938974272932,0.0437937096636619,0.0239115452993456,,0.6590909090909091,0.3409090909090909,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,30,44,3.5227622306926705,3.599214195681838,0.0764519649891684,0.0795563109255311,,0.8181818181818182,0.1818181818181818,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,3,44,3.684926074230586,3.518428681930081,-0.1664973923005053,-0.1307439783029866,,0.0681818181818181,0.9318181818181818,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,7,44,3.731216321061935,3.633104361985904,-0.0981119590760307,-0.0763741723753204,,0.1818181818181818,0.8181818181818182,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,14,44,3.6011452646092708,3.6335329777395695,0.032387713130298,0.0225657944275636,,0.6136363636363636,0.3863636363636363,
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,30,44,3.5227622306926705,3.534541097309916,0.0117788666172456,0.017015344738033,,0.6136363636363636,0.3863636363636363,
