MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,similarity_kind,msr,gate,calibrate,alpha,alpha_val_mae
4.81966844092768,6.563201296943497,11.40513855442211,4.455238205171895,1.8651384099612962,M9_REVIN_MSR,cofactor_6399,14,42,revin,False,stats,True,False,False,1.0,
4.766287176047589,6.45877722549519,11.182603302417341,4.359005940932578,1.821378776200633,M11_REVIN_MSR_DPS_CAL,cofactor_6399,14,42,revin,True,profile,True,False,True,1.25,4.478950146893929
4.751128388013044,6.494831535271463,11.226344307284347,4.428580257913885,1.8410771138124662,M9_REVIN_MSR,cofactor_6399,30,42,revin,False,stats,True,False,False,1.0,
4.679877053485869,6.368772209732076,11.012803359504904,4.3200215862504985,1.8179926125833477,M11_REVIN_MSR_DPS_CAL,cofactor_6399,30,42,revin,True,profile,True,False,True,1.25,4.356709225169556
5.422874580977426,9.309270083202113,8.57959804346895,7.567220065510719,3.4605057265072867,M9_REVIN_MSR,cofactor_6400,3,42,revin,False,stats,True,False,False,1.0,
5.785702431660511,9.964865995960473,9.003277265269467,8.113769755828883,3.465591926870608,M11_REVIN_MSR_DPS_CAL,cofactor_6400,3,42,revin,True,profile,True,False,True,1.0,6.479120790157168
5.556960246012039,9.613275409734712,8.75361791889592,7.844980860005034,3.563168822594623,M9_REVIN_MSR,cofactor_6400,7,42,revin,False,stats,True,False,False,1.0,
5.686310396925489,9.748493093695503,8.959994452175797,7.918814278253794,3.530584290411544,M11_REVIN_MSR_DPS_CAL,cofactor_6400,7,42,revin,True,profile,True,False,True,1.0,6.368223681659282
5.6250516490227325,9.719738859311235,8.88536650281171,7.927216640415574,3.6608302368045957,M9_REVIN_MSR,cofactor_6400,14,42,revin,False,stats,True,False,False,1.0,
5.754973874977259,9.521595574430085,9.08511682334491,7.586104145893096,3.415464119921409,M11_REVIN_MSR_DPS_CAL,cofactor_6400,14,42,revin,True,profile,True,False,True,1.0,6.3586932846047235
5.4683229973773315,9.307208132281794,8.716867566576129,7.531890345466148,3.6296865049933795,M9_REVIN_MSR,cofactor_6400,30,42,revin,False,stats,True,False,False,1.0,
5.717235307220894,9.741544836083897,9.022963547659813,7.887932363925719,3.5756000563057735,M11_REVIN_MSR_DPS_CAL,cofactor_6400,30,42,revin,True,profile,True,False,True,0.75,6.384697604656126
0.9416492394384253,1.337222844245712,32.592944994308745,0.9495182355870123,2.763588899022967,M9_REVIN_MSR,cofactor_6402,3,42,revin,False,stats,True,False,False,1.0,
1.0135059898083165,1.4510509109853962,34.37033663794871,1.0385093989740746,2.6267569149703927,M11_REVIN_MSR_DPS_CAL,cofactor_6402,3,42,revin,True,profile,True,False,True,1.25,1.0579551297702505
0.9921564927618345,1.4337124227044589,34.2950574000928,1.0350377953519152,3.0327363545917403,M9_REVIN_MSR,cofactor_6402,7,42,revin,False,stats,True,False,False,1.0,
1.0070646034251827,1.4858210421157771,33.13426079758687,1.0925420859507395,2.8358046550370624,M11_REVIN_MSR_DPS_CAL,cofactor_6402,7,42,revin,True,profile,True,False,True,1.25,1.0602572690421517
0.9714981806341583,1.395404354336111,33.04989469397199,1.0017393671754393,2.5121687610382915,M9_REVIN_MSR,cofactor_6402,14,42,revin,False,stats,True,False,False,1.0,
0.9704073433165622,1.375119713191724,31.821065855408687,0.9743682995330882,2.4013421553411427,M11_REVIN_MSR_DPS_CAL,cofactor_6402,14,42,revin,True,profile,True,False,True,1.25,1.0103126457240268
0.9347395724746494,1.3120651992472876,32.52717323567106,0.9208110090686764,2.484325142655769,M9_REVIN_MSR,cofactor_6402,30,42,revin,False,stats,True,False,False,1.0,
0.898689779732157,1.241867312072023,30.460736187216785,0.857141483751721,2.2109370402067197,M11_REVIN_MSR_DPS_CAL,cofactor_6402,30,42,revin,True,profile,True,False,True,1.25,0.9242939425432264
2.314776848301079,3.7006608485878223,9.633690252450457,2.8875407981475174,3.082178304142426,M9_REVIN_MSR,cofactor_6404,3,42,revin,False,stats,True,False,False,1.0,
2.4471386332059684,3.6358972815871646,10.49686551957046,2.689292911426834,2.751593677878222,M11_REVIN_MSR_DPS_CAL,cofactor_6404,3,42,revin,True,profile,True,False,True,1.25,2.3482696107085865
2.3427331467652883,3.7595318710945875,9.867055721498758,2.9405643184763592,3.291606450157741,M9_REVIN_MSR,cofactor_6404,7,42,revin,False,stats,True,False,False,1.0,
2.476147653929477,3.779470016534753,10.631817827061553,2.8555652905434603,3.0404734533158293,M11_REVIN_MSR_DPS_CAL,cofactor_6404,7,42,revin,True,profile,True,False,True,1.25,2.400739019134467
2.3897756520957407,3.809165835498798,10.040033944940108,2.9664753181170265,3.1605346640252714,M9_REVIN_MSR,cofactor_6404,14,42,revin,False,stats,True,False,False,1.0,
2.2934374337434913,3.435592519307626,9.808805100821418,2.5581980139731164,2.9002579841053455,M11_REVIN_MSR_DPS_CAL,cofactor_6404,14,42,revin,True,profile,True,False,True,1.25,2.2565427141464833
2.251889267845678,3.446071906482412,9.68030894153387,2.608712333182763,2.9091824259877854,M9_REVIN_MSR,cofactor_6404,30,42,revin,False,stats,True,False,False,1.0,
2.313084712016175,3.495066563658517,9.899825964292239,2.6203266621464274,2.8831512115266844,M11_REVIN_MSR_DPS_CAL,cofactor_6404,30,42,revin,True,profile,True,False,True,1.0,2.228379267538155
1.071656844620396,1.701043448689404,18.280112553697183,1.3211127833604324,3.2655302087092384,M9_REVIN_MSR,cofactor_6405,3,42,revin,False,stats,True,False,False,1.0,
1.1505721436119507,1.8238933176609715,19.154835208609377,1.4152894990442937,3.070885906403013,M11_REVIN_MSR_DPS_CAL,cofactor_6405,3,42,revin,True,profile,True,False,True,1.25,1.242091518832132
